,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,Fence,MoSold,SaleType,SaleCondition,SalePrice
0,4.110873864173311,3,4.189654742026425,9.042040056544483,1,1,3,3,0,4,0,5,2,2,0,5,7,5,0,0,1,1,12,13,1,5.2832037287379885,2,4,2,2,4,3,2,6.561030665896573,6,0.0,5.017279836814924,6.75343791859778,1,0,1,4,6.75343791859778,6.75110146893676,0.0,7.444833273892193,1,0.0,2,1,3,0.6931471805599453,2,8,6,0,3,1,0,2,2,548,5,5,2,0.0,4.127134385045092,0.0,0.0,0.0,4,2,8,4,12.24769911637256
1,3.044522437723423,3,4.394449154672439,9.169622538697624,1,1,3,3,0,2,0,24,1,2,0,2,6,8,2,2,1,1,8,8,2,0.0,3,4,1,2,4,1,0,6.88653164253051,6,0.0,5.652489180268651,7.141245122350491,1,0,1,4,7.141245122350491,0.0,0.0,7.141245122350491,0,0.6931471805599453,2,0,3,0.6931471805599453,3,6,6,1,5,1,2,2,2,460,5,5,2,5.700443573390687,0.0,0.0,0.0,0.0,4,5,8,4,12.109016442313738
2,4.110873864173311,3,4.23410650459726,9.328212292571072,1,1,0,3,0,4,0,5,2,2,0,5,7,5,0,0,1,1,12,13,1,5.093750200806762,2,4,2,2,4,2,2,6.18826412308259,6,0.0,6.075346031088684,6.825460036255307,1,0,1,4,6.825460036255307,6.7650389767805414,0.0,7.488293515159428,1,0.0,2,1,3,0.6931471805599453,2,6,6,1,5,1,0,2,2,608,5,5,2,0.0,3.7612001156935624,0.0,0.0,0.0,4,9,8,4,12.317171167298682
3,4.2626798770413155,3,4.110873864173311,9.164401140034737,1,1,0,3,0,0,0,6,2,2,0,5,7,5,3,2,1,1,13,15,2,0.0,3,4,0,4,1,3,0,5.37989735354046,6,0.0,6.293419278846481,6.6293632534374485,1,2,1,4,6.8690144506657065,6.6293632534374485,0.0,7.4489161025442,1,0.0,1,0,3,0.6931471805599453,2,7,6,1,2,5,0,3,3,642,5,5,2,0.0,3.58351893845611,5.60947179518496,0.0,0.0,4,2,8,0,11.849404844423074
4,4.110873864173311,3,4.442651256490317,9.565283817736766,1,1,0,3,0,2,0,15,2,2,0,5,8,5,0,0,1,1,12,13,1,5.860786223465865,2,4,2,2,4,0,2,6.486160788944089,6,0.0,6.19644412779452,7.044032897274685,1,0,1,4,7.044032897274685,6.960347729101308,0.0,7.695757990554761,1,0.0,2,1,4,0.6931471805599453,2,9,6,1,5,1,0,2,3,836,5,5,2,5.262690188904886,4.442651256490317,0.0,0.0,0.0,4,12,8,4,12.429220196836383
5,3.9318256327243257,3,4.454347296253507,9.55506418479516,1,1,0,3,0,4,0,11,2,2,0,0,5,5,0,0,1,1,12,13,2,0.0,3,4,5,2,4,3,2,6.597145701886651,6,0.0,4.174387269895637,6.680854678790215,1,0,1,4,6.680854678790215,6.340359303727752,0.0,7.217443431696533,1,0.0,1,1,1,0.6931471805599453,3,5,6,0,3,1,0,3,2,480,5,5,2,3.713572066704308,3.4339872044851463,0.0,5.771441123130016,0.0,2,10,8,4,11.870606902224587
6,3.044522437723423,3,4.330733340286331,9.218804450388312,1,1,3,3,0,4,0,21,2,2,0,2,8,5,0,0,1,1,12,13,3,5.231108616854587,2,4,2,0,4,0,2,7.222566018822171,6,0.0,5.762051382780177,7.430707082545968,1,0,1,4,7.43543801981455,0.0,0.0,7.43543801981455,1,0.0,2,0,3,0.6931471805599453,2,7,6,1,2,1,0,2,2,636,5,5,2,5.545177444479562,4.060443010546419,0.0,0.0,0.0,4,8,8,4,12.634606283893019
7,4.110873864173311,3,4.2633832685897595,9.247925132303454,1,1,0,3,0,0,0,14,4,2,0,5,7,6,2,2,1,1,6,6,3,5.484796933490655,3,4,1,2,4,2,0,6.756932389247553,1,3.4965075614664802,5.37989735354046,7.010311867307229,1,0,1,4,7.010311867307229,6.891625897052253,0.0,7.645397699428633,1,0.0,2,1,3,0.6931471805599453,3,7,6,2,5,1,2,2,2,484,5,5,2,5.4638318050256105,5.3230099791384085,5.43372200355424,0.0,0.0,4,11,8,4,12.206077645517674
8,3.9318256327243257,4,3.9512437185814275,8.71948076085107,1,1,3,3,0,4,0,17,0,2,0,0,7,5,3,3,1,1,3,15,2,0.0,3,4,0,4,4,3,6,0.0,6,0.0,6.859614903654202,6.859614903654202,1,2,1,1,6.930494765951626,6.6240652277998935,0.0,7.4815557019095165,0,0.0,2,0,2,1.0986122886681098,3,8,2,2,5,5,3,3,2,468,1,5,2,4.51085950651685,0.0,5.327876168789581,0.0,0.0,4,4,8,0,11.774527900858468
9,5.25227342804663,3,3.9318256327243257,8.912069097970134,1,1,3,3,0,0,0,3,0,0,1,1,5,6,3,3,1,1,8,8,2,0.0,3,4,0,4,4,3,2,6.747586526829315,6,0.0,4.948759890378168,6.899723107284872,1,0,1,4,6.982862751468942,0.0,0.0,6.982862751468942,1,0.0,1,0,2,1.0986122886681098,3,5,6,2,5,1,3,2,1,205,2,5,2,0.0,1.6094379124341003,0.0,0.0,0.0,4,1,8,4,11.678448377988165
