Year,State/UT,Number of seats - Vidhan Sabhas,Number of electors,Number of votes polled,Number of valid votes polled,Percentage of votes polled
2008,Meghalaya,60,1214636,1086529,1086529,89.00
2008,Nagaland,60,1302266,1135117,1132658,87.00
2008,Tripura,60,2037998,1884998,1880834,92.00
2009,Andhra Pradesh,294,57892259,41898927,42058446,72.00
2009,Arunachal Pradesh,60,749948,560941,574662,75.00
2009,Haryana,90,13117142,9481923,9490092,72.00
2009,Jharkhand,81,18045638,10278740,10279009,57.00
2009,Maharashtra,288,75968312,45198331,45314850,60.00
2009,Orissa,147,27194864,17757978,17765071,65.00
2009,Sikkim,32,300584,245857,251851,82.00
2010,Bihar,243,55120656,29034705,29058604,53.00
2011,Assam,126,18188269,13809440,13820576,76.00
2011,Kerala,140,23208138,17387777,17461779,75.00
2011,Pondicherry,30,810635,693270,697900,86.00
2011,Tamil Nadu,234,47115846,36756813,36845373,78.00
2011,West Bengal,294,56283457,47464338,47638132,84.00
2012,Goa,40,1026304,838781,848861,82.00
2012,Manipur,60,1748399,1384570,1396968,79.00
2012,Punjab,117,17764755,13892784,13901424,78.00
2012,Uttarakhand,70,6377330,4219694,4250314,66.00
2012,Uttar Pradesh,403,127492836,75725793,75831682,59.00
2012,Gujarat,182,38099110,27164074,27417045,71.00
2012,Himachal Pradesh,68,4608359,3349852,3381028,73.00
2013,Karnataka,224,43685739,31213124,31352454,71.00
2013,Tripura,60,2358493,2165482,2202065,92.00
2013,Nagaland,60,1198449,1080887,1094852,90.00
2013,Meghalya,60,1503907,1305726,1319039,87.00
2013,Madhya Pradesh,230,46636788,33612951,33209333,72.00
2013,Mizoram,40,690860,558385,569607,81.00
2013,Rajasthan,200,40829312,30637241,30270703,75.00
2013,Chattisgarh,90,16895762,13029558,12672775,77.00
2013,Delhi,70,11936360,7833919,7823820,66.00
2014,Andhra Pradesh,294,64934138,48492467,48092120,75.00
2014,Arunachal Pradesh,60,759344,511510,502939,67.00
2014,Haryana,90,16303742,12434279,12373355,76.00
2014,Jammu & Kashmir,87,7316946,4822776,4768852,66.00
2014,Jharkhand,81,20852808,13873041,13633186,67.00
2014,Maharashtra,288,83528310,52937040,52417867,63.00
2014,Orissa,147,29196047,21546846,21261344,74.00
2014,Sikkim,32,370770,310135,304421,84.00
2015,Delhi,70,13313295,8982228,8942372,67.00
